,Word,Rating,Year,Ship,Line,Negative,Positive,Total
2734,course meal,good,2013,MSC Preziosa,Msc,1.0,0.0,1.0
2735,courses,good,2011,MSC Fantasia,Msc,1.0,0.0,1.0
2736,courteous cabin attendant,bad,2014,MSC Preziosa,Msc,0.0,1.0,1.0
2737,courteous crew,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
2738,courteous irifan,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2739,courteous staff,good,2011,MSC Fantasia,Msc,0.0,1.0,1.0
2740,courteous staff,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
2741,courtesy,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2742,covent garden theatre,good,2013,MSC Orchestra,Msc,0.0,1.0,1.0
2743,coving,bad,2009,MSC Fantasia,Msc,0.0,1.0,1.0
2744,covney real emotion,bad,2014,MSC Opera,Msc,0.0,1.0,1.0
2745,cozumel,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2746,cozumel,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2747,cozumel great time,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
2748,cozy alcove banquet,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
2749,cozy alcoves,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
2750,cozy dining room,good,2013,MSC Divina,Msc,0.0,1.0,1.0
2751,crab dining room,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2752,craft classes,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2753,cramped public spaces,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2754,crap shoot,good,2014,MSC Divina,Msc,1.0,0.0,1.0
2755,crappy coctails,bad,2013,MSC Poesia,Msc,1.0,0.0,1.0
2756,crappy food,bad,2013,MSC Poesia,Msc,1.0,0.0,1.0
2757,crappy mini pot,bad,2010,MSC Lirica,Msc,1.0,0.0,1.0
2758,cream cakes,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2759,cream sauce,bad,2013,MSC Poesia,Msc,0.0,1.0,1.0
2760,creative art,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
2761,creative cocktails,bad,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2762,credit card,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
2763,credit card,bad,2011,MSC Fantasia,Msc,1.0,1.0,2.0
2764,credit card,bad,2011,MSC Poesia,Msc,1.0,0.0,1.0
2765,credit card,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2766,credit card,bad,2014,MSC Musica,Msc,1.0,0.0,1.0
2767,credit card,bad,2014,MSC Opera,Msc,1.0,0.0,1.0
2768,credit card,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
2769,credit card,bad,2015,MSC Divina,Msc,1.0,0.0,1.0
2770,credit card,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2771,credit card,good,2011,MSC Splendida,Msc,0.0,1.0,1.0
2772,credit card company,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2773,credit card company,bad,2014,MSC Fantasia,Msc,1.0,0.0,1.0
